name,value,year,lastValue,rank
LYFT,4623412,2019.1,4623412,3
TAXI,3388,2018.8,3388,1
TAXI,1058,2016.3,1058,1
TAXI,2595,2015.12,2595,1
TAXI,5949,2016.3,5949,1
TAXI,395,2017.11,395,1
TAXI,2070,2017.2,2070,1
TAXI,977,2017.9,977,1
TAXI,3131,2019.1,3131,1
TAXI,1432,2017.3,1432,1
TAXI,1,2019.3,1,1
TAXI,211,2017.11,211,1
TAXI,13169,2017.7,13169,1
TAXI,3716,2017.12,3716,1
TAXI,2821,2015.11,2821,1
TAXI,7922,2016.1,7922,1
TAXI,3,2017.10,3,1
TAXI,11784,2018.11,11784,1
TAXI,2408,2018.6,2408,1
TAXI,837,2016.2,837,1
TAXI,6228,2016.10,6228,1
TAXI,6611,2018.9,6611,1
TAXI,18474,2018.11,18474,1
TAXI,5033,2019.6,5033,1
TAXI,903,2017.1,903,1
TAXI,1410,2017.8,1410,1
TAXI,11079,2017.11,11079,1
TAXI,28243,2015.4,28243,1
TAXI,1099,2017.12,1099,1
TAXI,2043,2018.12,2043,1
TAXI,737,2018.7,737,1
TAXI,10201,2017.7,10201,1
TAXI,108,2019.3,108,1
TAXI,1448,2018.2,1448,1
TAXI,390,2019.1,390,1
TAXI,8603,2017.11,8603,1
TAXI,4498,2015.12,4498,1
TAXI,3062,2016.9,3062,1
TAXI,5386,2018.5,5386,1
TAXI,867,2016.12,867,1
TAXI,6643,2015.2,6643,1
TAXI,27719,2017.7,27719,1
TAXI,6207,2016.11,6207,1
TAXI,1069,2017.4,1069,1
TAXI,80,2019.8,80,1
TAXI,32021,2015.6,32021,1
TAXI,2897,2019.4,2897,1
TAXI,3676,2016.10,3676,1
TAXI,10,2017.8,10,1
TAXI,203,2018.1,203,1
TAXI,933,2019.4,933,1
TAXI,288,2017.8,288,1
TAXI,6945,2016.1,6945,1
TAXI,932,2015.9,932,1
TAXI,1291,2017.12,1291,1
TAXI,13,2016.9,13,1
TAXI,11192,2016.4,11192,1
TAXI,35,2018.10,35,1
TAXI,2416,2018.10,2416,1
TAXI,220,2017.2,220,1
TAXI,486,2017.6,486,1
TAXI,455,2018.10,455,1
TAXI,61,2016.10,61,1
TAXI,453,2015.6,453,1
TAXI,668,2019.3,668,1
TAXI,2475,2019.6,2475,1
TAXI,505,2018.3,505,1
TAXI,365,2016.10,365,1
TAXI,3897,2016.6,3897,1
TAXI,688,2019.6,688,1
TAXI,10066,2018.4,10066,1
TAXI,2246,2017.12,2246,1
TAXI,203,2017.9,203,1
TAXI,235,2017.7,235,1
TAXI,1,2019.5,1,1
TAXI,2668,2016.5,2668,1
TAXI,15550,2017.4,15550,1
TAXI,252,2019.8,252,1
TAXI,246,2018.8,246,1
TAXI,14835,2015.10,14835,1
TAXI,1780,2018.2,1780,1
TAXI,515,2019.2,515,1
TAXI,2575,2018.4,2575,1
TAXI,319,2016.1,319,1
TAXI,11,2016.12,11,1
TAXI,1862,2016.6,1862,1
TAXI,13955,2016.12,13955,1
TAXI,423,2018.2,423,1
TAXI,159,2019.7,159,1
TAXI,10343,2016.4,10343,1
TAXI,544,2018.9,544,1
TAXI,451,2015.7,451,1
TAXI,13209,2016.10,13209,1
TAXI,3719,2018.12,3719,1
TAXI,581,2017.10,581,1
TAXI,1787,2015.10,1787,1
TAXI,9095,2016.6,9095,1
TAXI,166,2016.4,166,1
TAXI,2438,2018.9,2438,1
TAXI,21725,2015.12,21725,1
TAXI,59255,2015.12,59255,1
TAXI,528,2015.8,528,1
TAXI,29,2017.5,29,1
TAXI,50,2017.5,50,1
TAXI,9699,2017.4,9699,1
TAXI,3262,2017.5,3262,1
TAXI,4803,2019.1,4803,1
TAXI,35273,2018.8,35273,1
TAXI,4550,2016.7,4550,1
TAXI,3251,2017.9,3251,1
TAXI,22148,2016.1,22148,1
TAXI,941,2018.8,941,1
TAXI,1000,2018.8,1000,1
TAXI,1515,2016.11,1515,1
TAXI,365,2019.3,365,1
TAXI,594,2019.5,594,1
TAXI,2661,2019.3,2661,1
TAXI,22051,2016.7,22051,1
TAXI,14686,2015.8,14686,1
TAXI,1871,2016.5,1871,1
TAXI,742,2015.12,742,1
TAXI,3897,2015.11,3897,1
TAXI,377,2018.10,377,1
TAXI,56104,2016.8,56104,1
TAXI,1704,2019.2,1704,1
TAXI,2344,2018.1,2344,1
TAXI,267,2017.6,267,1
TAXI,8755,2019.1,8755,1
TAXI,1927,2017.12,1927,1
TAXI,6300,2016.12,6300,1
TAXI,302,2015.6,302,1
TAXI,3964,2016.7,3964,1
TAXI,893,2019.6,893,1
TAXI,636,2018.12,636,1
TAXI,9510,2018.5,9510,1
TAXI,13399,2018.9,13399,1
TAXI,350,2017.7,350,1
TAXI,7180,2017.12,7180,1
TAXI,21412,2019.8,21412,1
TAXI,18886,2015.5,18886,1
TAXI,1725,2016.3,1725,1
TAXI,7820,2018.4,7820,1
TAXI,11347,2018.10,11347,1
TAXI,2612,2015.7,2612,1
TAXI,367,2019.4,367,1
TAXI,401,2017.2,401,1
TAXI,4180,2015.12,4180,1
TAXI,10613,2017.8,10613,1
TAXI,403,2017.3,403,1
TAXI,191,2018.1,191,1
LYFT,3936418,2018.8,3936418,3
TAXI,12117,2018.2,12117,1
TAXI,15147,2017.7,15147,1
UBER,14663999,2018.10,14663999,2
TAXI,1131,2016.2,1131,1
VIA,113866,2015.4,113866,4
TAXI,379,2017.10,379,1
TAXI,89,2017.12,89,1
TAXI,126,2019.6,126,1
TAXI,6417,2017.8,6417,1
TAXI,14878,2016.9,14878,1
TAXI,925,2019.4,925,1
TAXI,1453,2018.5,1453,1
TAXI,5258,2015.11,5258,1
TAXI,439,2018.5,439,1
TAXI,654,2018.10,654,1
TAXI,272,2017.8,272,1
TAXI,1,2019.4,1,1
TAXI,2411,2016.6,2411,1
TAXI,4642,2016.9,4642,1
TAXI,226,2017.6,226,1
TAXI,2998,2016.8,2998,1
TAXI,68,2018.9,68,1
TAXI,1239,2017.9,1239,1
TAXI,14254,2016.9,14254,1
TAXI,4162,2016.10,4162,1
TAXI,3284,2017.3,3284,1
TAXI,2673,2016.1,2673,1
TAXI,5172,2016.7,5172,1
TAXI,6,2017.2,6,1
TAXI,1285,2017.11,1285,1
TAXI,4708,2018.6,4708,1
TAXI,118,2018.9,118,1
TAXI,1321,2018.9,1321,1
TAXI,5811,2015.2,5811,1
TAXI,275,2016.1,275,1
TAXI,3237,2018.8,3237,1
TAXI,3205,2016.12,3205,1
TAXI,89,2016.6,89,1
TAXI,31769,2017.5,31769,1
TAXI,843,2017.9,843,1
TAXI,949,2018.7,949,1
TAXI,4500,2016.4,4500,1
TAXI,1350,2019.4,1350,1
TAXI,1181,2015.10,1181,1
TAXI,1565,2018.11,1565,1
TAXI,556,2016.4,556,1
TAXI,3337,2015.11,3337,1
TAXI,327,2018.7,327,1
TAXI,48485,2015.6,48485,1
TAXI,3624,2016.10,3624,1
TAXI,7748,2017.6,7748,1
TAXI,36985,2016.6,36985,1
TAXI,26,2017.8,26,1
TAXI,2750,2017.1,2750,1
TAXI,2930,2018.8,2930,1
TAXI,4756,2018.11,4756,1
TAXI,972,2015.12,972,1
TAXI,91,2016.4,91,1
TAXI,1831,2016.6,1831,1
TAXI,517,2017.9,517,1
TAXI,2,2019.2,2,1
TAXI,19258,2016.12,19258,1
TAXI,1046,2018.10,1046,1
TAXI,2871,2017.9,2871,1
TAXI,168,2018.11,168,1
TAXI,3753,2017.1,3753,1
TAXI,4887,2015.12,4887,1
TAXI,39,2018.10,39,1
TAXI,151,2017.11,151,1
TAXI,8025,2018.9,8025,1
TAXI,2447,2015.11,2447,1
TAXI,519,2018.3,519,1
TAXI,2069,2018.8,2069,1
TAXI,1137,2018.5,1137,1
TAXI,76,2016.3,76,1
TAXI,14,2016.9,14,1
TAXI,4329,2015.7,4329,1
TAXI,1413,2016.4,1413,1
TAXI,9570,2018.2,9570,1
TAXI,2655,2017.6,2655,1
TAXI,2628,2018.2,2628,1
TAXI,1639,2018.10,1639,1
TAXI,199,2018.1,199,1
TAXI,239,2017.11,239,1
TAXI,61,2018.7,61,1
TAXI,1605,2018.11,1605,1
TAXI,4437,2018.5,4437,1
TAXI,3150,2019.9,3150,1
TAXI,3098,2019.6,3098,1
TAXI,345,2018.4,345,1
TAXI,21336,2015.7,21336,1
TAXI,70682,2017.2,70682,1
TAXI,3704,2019.9,3704,1
TAXI,5539,2016.8,5539,1
TAXI,17693,2017.3,17693,1
TAXI,33,2018.7,33,1
TAXI,9045,2016.11,9045,1
TAXI,13018,2015.11,13018,1
TAXI,8917,2017.7,8917,1
TAXI,3113,2018.4,3113,1
TAXI,1408,2016.1,1408,1
TAXI,7762,2015.4,7762,1
TAXI,1251,2015.12,1251,1
TAXI,12,2018.2,12,1
TAXI,8310,2018.9,8310,1
TAXI,4660,2015.5,4660,1
TAXI,898,2016.9,898,1
TAXI,7786,2018.11,7786,1
TAXI,2336,2019.1,2336,1
TAXI,45,2019.1,45,1
TAXI,49,2018.6,49,1
TAXI,9455,2018.1,9455,1
TAXI,329,2017.10,329,1
TAXI,13074,2017.2,13074,1
TAXI,31,2018.1,31,1
TAXI,10105,2018.2,10105,1
TAXI,1146,2018.4,1146,1
TAXI,25,2018.10,25,1
TAXI,1684,2019.2,1684,1
TAXI,517,2015.11,517,1
TAXI,4061,2017.2,4061,1
TAXI,9902,2019.4,9902,1
TAXI,244,2018.6,244,1
TAXI,2362,2019.1,2362,1
TAXI,6776,2018.4,6776,1
TAXI,3609,2016.7,3609,1
TAXI,9023,2018.1,9023,1
TAXI,1,2019.5,1,1
TAXI,18164,2018.5,18164,1
TAXI,478,2016.7,478,1
TAXI,265,2019.6,265,1
TAXI,11,2017.10,11,1
TAXI,1495,2016.4,1495,1
TAXI,570,2018.11,570,1
TAXI,2417,2016.7,2417,1
TAXI,5947,2017.7,5947,1
TAXI,374,2017.7,374,1
TAXI,1269,2018.6,1269,1
TAXI,5754,2018.1,5754,1
JUNO,740482,2019.4,740482,5
TAXI,4884,2017.8,4884,1
TAXI,2332,2018.12,2332,1
TAXI,21,2018.7,21,1
TAXI,1409,2017.3,1409,1
TAXI,3253,2017.3,3253,1
TAXI,10084,2019.5,10084,1
TAXI,4477,2017.11,4477,1
TAXI,9755,2015.11,9755,1
TAXI,13014,2019.4,13014,1
TAXI,2802,2019.8,2802,1
TAXI,3945,2016.4,3945,1
TAXI,2709,2018.11,2709,1
TAXI,458,2017.10,458,1
TAXI,10973,2019.9,10973,1
TAXI,1756,2019.5,1756,1
TAXI,32,2016.3,32,1
TAXI,3076,2018.6,3076,1
TAXI,3578,2018.10,3578,1
TAXI,2579,2018.10,2579,1
TAXI,107,2016.3,107,1
TAXI,71,2018.1,71,1
TAXI,1408,2018.4,1408,1
TAXI,27,2017.11,27,1
TAXI,9711,2019.4,9711,1
TAXI,312,2016.10,312,1
TAXI,1363,2019.6,1363,1
TAXI,14,2015.5,14,1
TAXI,564,2019.9,564,1
TAXI,11189,2016.2,11189,1
TAXI,1332,2019.5,1332,1
TAXI,8832,2019.1,8832,1
TAXI,1221,2017.10,1221,1
TAXI,19805,2018.10,19805,1
TAXI,152,2018.5,152,1
TAXI,3050,2019.7,3050,1
TAXI,3535,2016.4,3535,1
TAXI,12530,2015.2,12530,1
TAXI,311,2016.5,311,1
TAXI,20556,2018.7,20556,1
TAXI,1105,2018.4,1105,1
TAXI,1487,2019.8,1487,1
TAXI,4836,2016.6,4836,1
TAXI,98,2016.9,98,1
TAXI,7317,2016.10,7317,1
TAXI,1405,2018.10,1405,1
TAXI,1605,2017.9,1605,1
TAXI,904,2018.9,904,1
TAXI,10106,2016.7,10106,1
TAXI,1174,2018.7,1174,1
TAXI,2373,2017.12,2373,1
TAXI,676,2018.7,676,1
TAXI,53,2019.7,53,1
TAXI,542,2016.11,542,1
UBER,4827339,2016.2,4827339,2
TAXI,2368,2015.9,2368,1
TAXI,210,2015.8,210,1
TAXI,4329,2017.9,4329,1
TAXI,805,2016.4,805,1
TAXI,86,2019.4,86,1
TAXI,74,2018.9,74,1
TAXI,115,2018.3,115,1
TAXI,341,2018.3,341,1
TAXI,57,2016.2,57,1
TAXI,23,2015.6,23,1
TAXI,153,2018.12,153,1
TAXI,4790,2015.9,4790,1
TAXI,29769,2016.4,29769,1
TAXI,824,2019.9,824,1
TAXI,1441,2017.9,1441,1
TAXI,9671,2019.2,9671,1
TAXI,653,2015.7,653,1
TAXI,1381,2018.6,1381,1
TAXI,1391,2019.8,1391,1
TAXI,684,2019.9,684,1
TAXI,2339,2019.8,2339,1
TAXI,4594,2018.1,4594,1
TAXI,29192,2017.3,29192,1
TAXI,12744,2016.6,12744,1
TAXI,1516,2018.8,1516,1
TAXI,731,2017.7,731,1
TAXI,8595,2018.12,8595,1
TAXI,1816,2017.3,1816,1
TAXI,772,2018.10,772,1
TAXI,6789,2018.4,6789,1
TAXI,153,2018.6,153,1
TAXI,3087,2018.10,3087,1
TAXI,10572,2018.10,10572,1
TAXI,19908,2017.3,19908,1
TAXI,21360,2017.3,21360,1
TAXI,9138,2016.10,9138,1
TAXI,2911,2017.4,2911,1
TAXI,1934,2018.11,1934,1
TAXI,3727,2018.10,3727,1
TAXI,4562,2016.12,4562,1
TAXI,17937,2015.5,17937,1
TAXI,1966,2018.5,1966,1
TAXI,6131,2017.7,6131,1
TAXI,665,2017.9,665,1
TAXI,1012,2016.3,1012,1
TAXI,101,2017.9,101,1
TAXI,241,2015.5,241,1
TAXI,2825,2017.6,2825,1
TAXI,3529,2017.8,3529,1
TAXI,12530,2015.2,12530,1
TAXI,2251,2018.2,2251,1
TAXI,349,2018.1,349,1
TAXI,1583,2015.11,1583,1
TAXI,5922,2015.8,5922,1
TAXI,1006,2016.6,1006,1
TAXI,55,2018.5,55,1
TAXI,950,2016.6,950,1
TAXI,1220,2016.10,1220,1
TAXI,8674,2015.7,8674,1
TAXI,1600,2016.12,1600,1
TAXI,7932,2015.8,7932,1
TAXI,1936,2018.9,1936,1
TAXI,5313,2019.6,5313,1
VIA,968057,2017.11,968057,4
TAXI,1982,2019.7,1982,1
TAXI,11713,2018.12,11713,1
TAXI,2356,2017.9,2356,1
TAXI,22,2016.6,22,1
TAXI,1182,2016.6,1182,1
TAXI,1354,2019.4,1354,1
TAXI,123,2018.12,123,1
TAXI,17898,2017.5,17898,1
TAXI,13143,2017.11,13143,1
TAXI,137,2018.5,137,1
TAXI,149,2017.11,149,1
TAXI,68,2017.2,68,1
TAXI,615,2018.9,615,1
TAXI,32,2016.9,32,1
TAXI,2609,2017.3,2609,1
TAXI,4839,2016.11,4839,1
TAXI,1799,2015.8,1799,1
TAXI,723,2017.8,723,1
TAXI,1999,2016.4,1999,1
TAXI,2065,2016.5,2065,1
TAXI,924,2017.10,924,1
TAXI,6451,2017.4,6451,1
TAXI,348,2018.6,348,1
TAXI,322,2019.6,322,1
TAXI,800,2015.12,800,1
TAXI,1807,2016.5,1807,1
TAXI,648,2018.1,648,1
TAXI,5023,2016.6,5023,1
TAXI,4833,2016.6,4833,1
TAXI,1044,2017.8,1044,1
TAXI,20,2016.1,20,1
TAXI,4181,2017.10,4181,1
TAXI,269,2016.3,269,1
TAXI,12461,2019.5,12461,1
TAXI,1831,2017.5,1831,1
TAXI,4242,2017.6,4242,1
TAXI,49105,2018.5,49105,1
TAXI,132,2018.6,132,1
TAXI,554,2018.3,554,1
TAXI,196,2015.12,196,1
TAXI,3360,2016.7,3360,1
TAXI,2543,2016.8,2543,1
TAXI,244,2016.7,244,1
TAXI,91,2016.2,91,1
TAXI,23114,2017.11,23114,1
UBER,7736951,2017.1,7736951,2
TAXI,6499,2018.11,6499,1
TAXI,120,2018.2,120,1
TAXI,4287,2019.7,4287,1
TAXI,228,2016.6,228,1
TAXI,193,2017.9,193,1
TAXI,19892,2016.3,19892,1
TAXI,206,2019.6,206,1
TAXI,537,2019.9,537,1
TAXI,2183,2017.3,2183,1
TAXI,2258,2017.5,2258,1
TAXI,367,2017.2,367,1
UBER,11671765,2018.1,11671765,2
TAXI,290,2019.8,290,1
TAXI,68094,2015.10,68094,1
TAXI,4315,2017.12,4315,1
TAXI,574,2018.9,574,1
TAXI,173,2018.4,173,1
TAXI,3177,2019.5,3177,1
TAXI,4446,2017.6,4446,1
TAXI,4411,2019.5,4411,1
TAXI,236,2019.3,236,1
TAXI,285,2018.2,285,1
TAXI,193,2019.7,193,1
TAXI,812,2017.4,812,1
TAXI,466,2015.12,466,1
TAXI,1559,2016.11,1559,1
TAXI,193,2019.6,193,1
TAXI,1942,2018.1,1942,1
TAXI,471,2019.9,471,1
TAXI,1,2019.3,1,1
TAXI,1890,2017.6,1890,1
TAXI,24212,2017.10,24212,1
TAXI,4939,2017.10,4939,1
TAXI,352,2017.6,352,1
TAXI,1727,2016.12,1727,1
TAXI,1315,2018.9,1315,1
TAXI,110,2018.10,110,1
TAXI,2650,2016.6,2650,1
TAXI,1409,2017.3,1409,1
TAXI,219,2016.5,219,1
TAXI,469,2017.1,469,1
TAXI,684,2017.4,684,1
TAXI,124,2019.9,124,1
TAXI,7325,2016.6,7325,1
TAXI,6000,2018.5,6000,1
TAXI,3383,2018.5,3383,1
TAXI,1233,2018.7,1233,1
TAXI,13876,2016.4,13876,1
TAXI,1823,2016.5,1823,1
TAXI,4248,2018.9,4248,1
TAXI,1050,2019.1,1050,1
TAXI,534,2019.2,534,1
TAXI,2377,2019.8,2377,1
TAXI,40,2017.6,40,1
TAXI,2086,2017.12,2086,1
TAXI,231,2019.4,231,1
TAXI,559,2018.2,559,1
TAXI,78503,2016.11,78503,1
TAXI,40,2015.8,40,1
TAXI,30957,2016.5,30957,1
TAXI,7567,2016.2,7567,1
TAXI,5405,2015.9,5405,1
TAXI,221,2016.4,221,1
TAXI,1631,2017.10,1631,1
TAXI,2036,2017.12,2036,1
TAXI,13250,2018.1,13250,1
TAXI,10101,2015.5,10101,1
TAXI,3165,2017.10,3165,1
TAXI,1120,2016.8,1120,1
TAXI,1393,2016.3,1393,1
TAXI,10223,2017.7,10223,1
TAXI,2725,2016.9,2725,1
TAXI,24477,2016.4,24477,1
TAXI,189,2016.1,189,1
TAXI,4928,2018.11,4928,1
TAXI,26,2016.6,26,1
TAXI,10361,2017.6,10361,1
TAXI,225,2019.1,225,1
TAXI,25,2018.11,25,1
TAXI,1074,2017.5,1074,1
TAXI,3727,2015.11,3727,1
TAXI,10876,2016.6,10876,1
LYFT,2010328,2017.6,2010328,3
TAXI,27964,2017.1,27964,1
TAXI,61818,2016.3,61818,1
TAXI,22053,2018.8,22053,1
TAXI,492,2019.5,492,1
TAXI,21653,2016.11,21653,1
TAXI,931,2018.11,931,1
TAXI,1262,2018.3,1262,1
TAXI,5380,2018.12,5380,1
TAXI,3063,2018.7,3063,1
TAXI,244,2017.7,244,1
TAXI,324,2015.8,324,1
TAXI,1008,2016.8,1008,1
TAXI,21,2016.7,21,1
TAXI,7534,2016.2,7534,1
TAXI,5996,2016.12,5996,1
TAXI,89,2015.12,89,1
TAXI,296,2019.4,296,1
TAXI,16169,2019.1,16169,1
TAXI,405,2018.5,405,1
TAXI,919,2018.6,919,1
TAXI,7189,2016.8,7189,1
TAXI,11860,2016.3,11860,1
